"","class","species","n"
"315","Aves","Penelope obscura",89
"316","Aves","Petrochelidon pyrrhonota",6
"317","Aves","Phacellodomus erythrophthalmus",10
"318","Aves","Phacellodomus ruber",8
"319","Aves","Phacellodomus sibilatrix",8
"320","Aves","Phacellodomus striaticollis",57
"321","Aves","Phaetusa simplex",22
"322","Aves","Phalacrocorax brasilianus",201
"323","Aves","Phalaropus tricolor",23
"324","Aves","Phimosus infuscatus",88
"325","Aves","Phleocryptes melanops",36
"326","Aves","Phoenicopterus chilensis",49
"327","Aves","Phyllomyias burmeisteri",1
"328","Aves","Phyllomyias virescens",1
"329","Aves","Phylloscartes ventralis",33
"330","Aves","Phytotoma rutila",18
"331","Aves","Piaya cayana",27
"332","Aves","Piculus aurulentus",3
"333","Aves","Picumnus cirratus",17
"334","Aves","Picumnus nebulosus",57
"335","Aves","Pipraeidea melanonota",21
"336","Aves","Piranga flava",54
"337","Aves","Pitangus sulphuratus",259
"338","Aves","Platalea ajaja",84
"339","Aves","Plegadis chihi",96
"340","Aves","Pluvialis dominica",62
"341","Aves","Pluvialis squatarola",7
"342","Aves","Pluvianellus socialis",1
"343","Aves","Podiceps major",95
"344","Aves","Podiceps occipitalis",3
"345","Aves","Podilymbus podiceps",26
"346","Aves","Poecilotriccus plumbeiceps",14
"347","Aves","Polioptila dumicola",93
"348","Aves","Polystictus pectoralis",17
"349","Aves","Poospiza nigrorufa",72
"350","Aves","Porphyrio martinica",21
"351","Aves","Porzana albicollis",1
"352","Aves","Porzana flaviventer",1
"353","Aves","Porzana spiloptera",3
"354","Aves","Procellaria aequinoctialis",16
"355","Aves","Progne chalybea",83
"356","Aves","Progne elegans",3
"357","Aves","Progne tapera",109
"358","Aves","Pseudocolopteryx flaviventris",9
"359","Aves","Pseudocolopteryx sclateri",7
"360","Aves","Pseudoleistes guirahuro",26
"361","Aves","Pseudoleistes virescens",124
"362","Aves","Pseudoscops clamator",7
"363","Aves","Pseudoseisura lophotes",13
"364","Aves","Puffinus gravis",6
"365","Aves","Puffinus griseus",5
"366","Aves","Puffinus puffinus",4
"367","Aves","Pyrocephalus rubinus",201
"368","Aves","Pyroderus scutatus",1
"369","Aves","Pyrrhura frontalis",29
"370","Aves","Ramphastos toco",3
"371","Aves","Rauenia bonariensis",131
"372","Aves","Rhea americana",159
"373","Aves","Rhopospina fruticeti",3
"374","Aves","Rhynchotus rufescens",14
"375","Aves","Riparia riparia",7
"376","Aves","Rollandia rolland",48
"377","Aves","Rostrhamus sociabilis",57
"378","Aves","Rupornis magnirostris",132
"379","Aves","Rynchops niger",55
"380","Aves","Saltator aurantiirostris",65
"381","Aves","Saltator coerulescens",8
"382","Aves","Saltator similis",32
"383","Aves","Satrapa icterophrys",41
"384","Aves","Schoeniophylax phryganophilus",23
"385","Aves","Serpophaga griseicapilla",3
"386","Aves","Serpophaga nigricans",92
"387","Aves","Serpophaga subcristata",53
"388","Aves","Setopagis parvula",9
"389","Aves","Setophaga pitiayumi",121
"390","Aves","Sicalis flaveola",300
"391","Aves","Sicalis luteola",67
"392","Aves","Sittasomus griseicapillus",14
"393","Aves","Spartonoica maluroides",10
"394","Aves","Spatula cyanoptera",10
"395","Aves","Spatula platalea",17
"396","Aves","Spatula versicolor",64
"397","Aves","Spheniscus magellanicus",119
"398","Aves","Spinus magellanicus",131
"399","Aves","Sporophila caerulescens",66
"400","Aves","Sporophila cinnamomea",51
"401","Aves","Sporophila collaris",45
"402","Aves","Sporophila hypochroma",4
"403","Aves","Sporophila hypoxantha",3
"404","Aves","Sporophila leucoptera",1
"405","Aves","Sporophila palustris",55
"406","Aves","Sporophila pileata",1
"407","Aves","Sporophila ruficollis",45
"408","Aves","Stelgidopteryx ruficollis",33
"409","Aves","Stephanophorus diadematus",100
"410","Aves","Stercorarius antarcticus",6
"411","Aves","Stercorarius chilensis",20
"412","Aves","Stercorarius longicaudus",2
"413","Aves","Stercorarius maccormicki",2
"414","Aves","Stercorarius parasiticus",19
"415","Aves","Stercorarius pomarinus",1
"416","Aves","Sterna hirundinacea",33
"417","Aves","Sterna hirundo",24
"418","Aves","Sterna paradisaea",1
"419","Aves","Sterna trudeaui",72
"420","Aves","Sternula superciliaris",48
"421","Aves","Stilpnia peruviana",5
"422","Aves","Stilpnia preciosa",78
"423","Aves","Sturnella defilippii",4
"424","Aves","Sturnella superciliaris",65
"425","Aves","Sturnus vulgaris",83
"426","Aves","Sublegatus modestus",4
"427","Aves","Suiriri suiriri",10
"428","Aves","Sula dactylatra",1
"429","Aves","Synallaxis albescens",4
"430","Aves","Synallaxis cinerascens",3
"431","Aves","Synallaxis frontalis",14
"432","Aves","Synallaxis spixi",28
"433","Aves","Syndactyla rufosuperciliata",18
"434","Aves","Syrigma sibilatrix",105
"435","Aves","Systellura longirostris",4
"436","Aves","Tachuris rubrigastra",23
"437","Aves","Tachybaptus dominicus",7
"438","Aves","Tachycineta leucopyga",7
"439","Aves","Tachycineta leucorrhoa",72
"440","Aves","Tachyphonus coronatus",4
"441","Aves","Tapera naevia",17
"442","Aves","Thalassarche chlororhynchos",3
"443","Aves","Thalassarche melanophris",36
"444","Aves","Thalasseus elegans",2
"445","Aves","Thalasseus maximus",64
"446","Aves","Thalasseus sandvicensis",37
"447","Aves","Thamnophilus caerulescens",40
