"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"1170","srnaturaleza","2019-06-24T14:01:40","2019-06-24T14:01:40",1,1,1,"beginner"
"1171","ssimeto","2016-05-04T10:22:01","2024-02-20T18:57:20",22,2849,0.00772200772200772,"beginner"
"1172","stein1101","2023-02-12T13:33:22","2023-02-12T13:33:22",1,1,1,"beginner"
"1173","strawberryfeel","2020-11-20T12:55:04","2020-11-20T12:55:04",1,1,1,"beginner"
"1174","subea0911","2024-03-27T17:56:36","2024-04-07T11:26:17",2,12,0.166666666666667,"beginner"
"1175","sylviamolino","2023-11-16T09:57:46","2023-11-26T12:09:44",6,11,0.545454545454545,"beginner"
"1176","sylviataran","2022-03-05T11:29","2022-03-05T11:29",1,1,1,"beginner"
"1177","tainant","2024-02-07T14:12:06","2024-02-07T14:12:06",1,1,1,"beginner"
"1178","tajy","2024-01-18T16:17:58","2024-01-18T16:18:10",2,1,2,"beginner"
"1179","tania_trasante","2015-01-02T11:19","2020-01-02T16:40",56,1827.04166666667,0.0306506419758717,"beginner"
"1180","tatgam","2023-12-16T15:16:05","2024-01-08T12:43:03",5,24,0.208333333333333,"beginner"
"1181","tatotorterolo","2021-11-09T10:16:34","2024-01-03T17:12:10",23,786,0.0292620865139949,"beginner"
"1182","teenahhhh","2023-02-11T12:10:04","2023-02-15T13:04:19",6,5,1.2,"beginner"
"1183","tejomattioli","2020-12-28T16:37:32","2021-02-14T21:16:29",28,49,0.571428571428571,"beginner"
"1184","terecabo","2015-05-23","2015-05-23",1,1,1,"beginner"
"1185","teyma","2023-05-13T08:32:11","2023-05-13T08:32:11",1,1,1,"beginner"
"1186","thebirdsites-com","2023-03-01T22:11","2023-03-02T02:54",2,2,1,"beginner"
"1187","tiana1213","2022-06-09T09:48","2022-06-26T10:14",2,18,0.111111111111111,"beginner"
"1188","tierradehumedales","2023-06-02T17:22:08","2023-06-12T14:52:09",8,11,0.727272727272727,"beginner"
"1189","timlang55","2023-11-14T19:24:30","2023-11-14T19:24:30",1,1,1,"beginner"
"1190","titinanunez","2023-11-10T08:49:40","2023-11-10T08:49:40",1,1,1,"beginner"
"1191","tizamap","2023-08-26T13:16","2023-08-26T13:16",1,1,1,"beginner"
"1192","tomillo","2023-03-04T15:12","2023-03-10T15:12",20,7,2.85714285714286,"beginner"
"1193","tomyf","2021-01-11T13:52:08","2023-04-08T16:35:12",3,818,0.00366748166259169,"beginner"
"1194","trala","2022-03-29T09:26:43","2023-08-16T12:23:25",71,506,0.140316205533597,"beginner"
"1195","tresalegrias","2023-02-27T11:22:31","2023-02-27T11:22:31",1,1,1,"beginner"
"1196","tucutucu","2018-03-29","2024-03-29T18:32:12",87,2193,0.039671682626539,"beginner"
"1197","ugica","2023-03-24T18:39","2024-04-09T11:33:13",439,383,1.14621409921671,"intermediate"
"1198","uhhfrogod","2023-09-08T10:56:50","2024-01-23T17:59:15",8,138,0.0579710144927536,"beginner"
"1199","ultralisk","2018-06-21T04:07","2021-02-23T03:49",8,979,0.00817160367722165,"beginner"
"1200","umadot","2013-07-30T17:50:09","2013-07-30T17:50:09",1,1,1,"beginner"
"1201","urugunner","2020-09-12T20:22:47","2020-09-12T20:22:47",1,1,1,"beginner"
"1202","uwekozina","2014-12-31T14:47","2014-12-31T14:51",2,1,2,"beginner"
"1203","vale_natural123","2022-07-19T09:59","2022-07-29T09:38",2,11,0.181818181818182,"beginner"
"1204","valearechichu","2020-08-07T11:30:35","2020-08-07T11:30:35",1,1,1,"beginner"
"1205","valentina_brum","2021-10-07T11:00","2021-12-13T18:49:34",6,68,0.0882352941176471,"beginner"
"1206","valentinalarrosa","2022-07-19T09:47","2022-07-19T09:47",1,1,1,"beginner"
"1207","valeperezduran","2023-02-03T17:14:38","2023-11-26T13:14",22,297,0.0740740740740741,"beginner"
"1208","valeunchupetin","2022-10-01","2023-04-08T17:37:34",10,190,0.0526315789473684,"beginner"
"1209","vciganda","2021-06-12T13:06","2021-06-12T13:06",1,1,1,"beginner"
"1210","vedrfolnir","2005-04-06T16:09","2005-04-06T16:37",2,1,2,"beginner"
"1211","veraclash","2023-11-01T15:04:23","2023-11-01T15:04:23",1,1,1,"beginner"
