"","family","species","n"
"222","Asteraceae","Schlechtendalia luzulifolia",70
"223","Asteraceae","Senecio angulatus",12
"224","Asteraceae","Senecio bonariensis",47
"225","Asteraceae","Senecio brasiliensis",64
"226","Asteraceae","Senecio ceratophylloides",4
"227","Asteraceae","Senecio cisplatinus",3
"228","Asteraceae","Senecio crassiflorus",219
"229","Asteraceae","Senecio heterotrichius",20
"230","Asteraceae","Senecio madagascariensis",150
"231","Asteraceae","Senecio mattfeldianus",3
"232","Asteraceae","Senecio ostenii",40
"233","Asteraceae","Senecio pinnatus",1
"234","Asteraceae","Senecio platensis",20
"235","Asteraceae","Senecio pterophorus",11
"236","Asteraceae","Senecio pulcher",9
"237","Asteraceae","Senecio saltensis",1
"238","Asteraceae","Senecio selloi",102
"239","Asteraceae","Senecio tamoides",3
"240","Asteraceae","Senecio tweediei",7
"241","Asteraceae","Senecio vira-vira",10
"242","Asteraceae","Senecio vulgaris",4
"243","Asteraceae","Silybum marianum",12
"244","Asteraceae","Smallanthus connatus",4
"245","Asteraceae","Solidago chilensis",65
"246","Asteraceae","Soliva macrocephala",1
"247","Asteraceae","Soliva sessilis",5
"248","Asteraceae","Sommerfeltia cabrerae",2
"249","Asteraceae","Sommerfeltia spinulosa",28
"250","Asteraceae","Sonchus asper",11
"251","Asteraceae","Sonchus oleraceus",59
"252","Asteraceae","Sphagneticola trilobata",2
"253","Asteraceae","Stenachaenium macrocephalum",15
"254","Asteraceae","Stenachaenium megapotamicum",11
"255","Asteraceae","Stenachaenium riedelii",7
"256","Asteraceae","Stenocephalum megapotamicum",1
"257","Asteraceae","Stevia aristata",1
"258","Asteraceae","Stevia cinerascens",2
"259","Asteraceae","Stevia entreriensis",1
"260","Asteraceae","Stevia multiaristata",6
"261","Asteraceae","Stevia satureifolia",69
"262","Asteraceae","Symphyotrichum squamatum",13
"263","Asteraceae","Tagetes minuta",9
"264","Asteraceae","Tanacetum parthenium",1
"265","Asteraceae","Taraxacum erythrospermum",1
"266","Asteraceae","Taraxacum officinale",38
"267","Asteraceae","Tessaria absinthioides",34
"268","Asteraceae","Tessaria dodonaeifolia",1
"269","Asteraceae","Tessaria integrifolia",1
"270","Asteraceae","Thelesperma megapotamicum",4
"271","Asteraceae","Tragopogon porrifolius",1
"272","Asteraceae","Trichocline cisplatina",1
"273","Asteraceae","Trichocline humilis",6
"274","Asteraceae","Trichocline incana",49
"275","Asteraceae","Trichocline minuana",3
"276","Asteraceae","Trixis nobilis",5
"277","Asteraceae","Trixis praestans",36
"278","Asteraceae","Urolepis hecatantha",31
"279","Asteraceae","Urospermum picroides",8
"280","Asteraceae","Verbesina subcordata",8
"281","Asteraceae","Vernonanthura montevidensis",20
"282","Asteraceae","Vernonanthura nudiflora",18
"283","Asteraceae","Vernonia echioides",3
"284","Asteraceae","Wedelia montevidensis",159
"285","Asteraceae","Wedelia silphioides",3
"286","Asteraceae","Xanthium orientale",5
"287","Asteraceae","Xanthium spinosum",13
"288","Asteraceae","Xanthium strumarium",30
"289","Asteraceae","Youngia japonica",7
"290","Asteraceae","Zinnia elegans",2
"291","Cactaceae","Acanthocalycium rhodotrichum",3
"292","Cactaceae","Austrocylindropuntia subulata",1
"293","Cactaceae","Brasiliopuntia brasiliensis",1
"294","Cactaceae","Cereus hildmannianus",79
"295","Cactaceae","Echinopsis oxygona",31
"296","Cactaceae","Frailea castanea",1
"297","Cactaceae","Frailea gracillima",4
"298","Cactaceae","Frailea pumila",3
"299","Cactaceae","Frailea pygmaea",39
"300","Cactaceae","Frailea schilinzkyana",6
"301","Cactaceae","Gymnocalycium denudatum",8
"302","Cactaceae","Gymnocalycium hossei",5
"303","Cactaceae","Gymnocalycium schroederianum",3
"304","Cactaceae","Gymnocalycium uruguayense",2
"305","Cactaceae","Gymnocalycium volskyi",1
"306","Cactaceae","Harrisia bonplandii",3
"307","Cactaceae","Harrisia martinii",1
"308","Cactaceae","Harrisia pomanensis",2
"309","Cactaceae","Harrisia regelii",2
"310","Cactaceae","Lepismium cruciforme",3
"311","Cactaceae","Lepismium lumbricoides",48
"312","Cactaceae","Opuntia arechavaletae",70
"313","Cactaceae","Opuntia aurantiaca",37
"314","Cactaceae","Opuntia cochenillifera",2
"315","Cactaceae","Opuntia elata",40
"316","Cactaceae","Opuntia ficus-indica",8
"317","Cactaceae","Opuntia leucotricha",1
"318","Cactaceae","Opuntia megapotamica",6
"319","Cactaceae","Opuntia monacantha",31
"320","Cactaceae","Opuntia sulphurea",4
"321","Cactaceae","Parodia buiningii",1
"322","Cactaceae","Parodia concinna",40
"323","Cactaceae","Parodia erinacea",271
"324","Cactaceae","Parodia erubescens",3
"325","Cactaceae","Parodia fusca",1
"326","Cactaceae","Parodia herteri",2
