"","taxon_class_name","taxon_species_name","n"
"356","Aves","Picumnus cirratus",19
"357","Aves","Picumnus nebulosus",58
"358","Aves","Pipraeidea melanonota",24
"359","Aves","Piranga flava",56
"360","Aves","Pitangus sulphuratus",213
"361","Aves","Platalea ajaja",91
"362","Aves","Plegadis chihi",82
"363","Aves","Pluvialis dominica",53
"364","Aves","Pluvialis squatarola",10
"365","Aves","Pluvianellus socialis",2
"366","Aves","Podiceps major",66
"367","Aves","Podiceps occipitalis",4
"368","Aves","Podilymbus podiceps",32
"369","Aves","Poecilotriccus plumbeiceps",15
"370","Aves","Polioptila dumicola",91
"371","Aves","Polystictus pectoralis",19
"372","Aves","Poospiza nigrorufa",72
"373","Aves","Porphyrio flavirostris",1
"374","Aves","Porphyrio martinica",19
"375","Aves","Porphyriops melanops",33
"376","Aves","Porzana spiloptera",3
"377","Aves","Procellaria aequinoctialis",12
"378","Aves","Progne chalybea",54
"379","Aves","Progne elegans",3
"380","Aves","Progne tapera",86
"381","Aves","Pseudocolopteryx flaviventris",13
"382","Aves","Pseudocolopteryx sclateri",7
"383","Aves","Pseudoleistes guirahuro",24
"384","Aves","Pseudoleistes virescens",105
"385","Aves","Pseudoseisura lophotes",14
"386","Aves","Psittacara leucophthalmus",17
"387","Aves","Puffinus puffinus",4
"388","Aves","Pygochelidon cyanoleuca",47
"389","Aves","Pyrocephalus rubinus",207
"390","Aves","Pyroderus scutatus",1
"391","Aves","Pyrrhura frontalis",32
"392","Aves","Ramphastos toco",3
"393","Aves","Rauenia bonariensis",143
"394","Aves","Rhea americana",161
"395","Aves","Rhopospina fruticeti",3
"396","Aves","Rhynchotus rufescens",19
"397","Aves","Riparia riparia",7
"398","Aves","Rollandia rolland",49
"399","Aves","Rostrhamus sociabilis",60
"400","Aves","Rupornis magnirostris",151
"401","Aves","Rynchops niger",45
"402","Aves","Saltator aurantiirostris",68
"403","Aves","Saltator coerulescens",8
"404","Aves","Saltator similis",33
"405","Aves","Satrapa icterophrys",46
"406","Aves","Schoeniophylax phryganophilus",27
"407","Aves","Serpophaga griseicapilla",8
"408","Aves","Serpophaga nigricans",93
"409","Aves","Serpophaga subcristata",56
"410","Aves","Setopagis parvula",10
"411","Aves","Setophaga pitiayumi",123
"412","Aves","Sicalis flaveola",252
"413","Aves","Sicalis luteola",70
"414","Aves","Sittasomus griseicapillus",16
"415","Aves","Spartonoica maluroides",11
"416","Aves","Spatula cyanoptera",12
"417","Aves","Spatula platalea",20
"418","Aves","Spatula versicolor",65
"419","Aves","Spheniscus magellanicus",106
"420","Aves","Spinus magellanicus",132
"421","Aves","Sporophila caerulescens",69
"422","Aves","Sporophila cinnamomea",51
"423","Aves","Sporophila collaris",47
"424","Aves","Sporophila hypochroma",5
"425","Aves","Sporophila hypoxantha",3
"426","Aves","Sporophila leucoptera",1
"427","Aves","Sporophila palustris",54
"428","Aves","Sporophila pileata",1
"429","Aves","Sporophila ruficollis",46
"430","Aves","Stelgidopteryx ruficollis",32
"431","Aves","Stephanophorus diadematus",120
"432","Aves","Stercorarius antarcticus",7
"433","Aves","Stercorarius chilensis",16
"434","Aves","Stercorarius longicaudus",2
"435","Aves","Stercorarius maccormicki",3
"436","Aves","Stercorarius parasiticus",19
"437","Aves","Stercorarius pomarinus",2
"438","Aves","Sterna hirundinacea",32
"439","Aves","Sterna hirundo",21
"440","Aves","Sterna paradisaea",1
"441","Aves","Sterna trudeaui",53
"442","Aves","Sternula superciliaris",47
"443","Aves","Stilpnia peruviana",5
"444","Aves","Stilpnia preciosa",86
"445","Aves","Sturnus vulgaris",78
"446","Aves","Sublegatus modestus",5
"447","Aves","Suiriri suiriri",10
"448","Aves","Synallaxis albescens",4
"449","Aves","Synallaxis cinerascens",4
"450","Aves","Synallaxis frontalis",13
"451","Aves","Synallaxis spixi",30
