"id","taxon_family_name","taxon_species_name","n","species","taxon_genus_name","Distribution","Habito1","Habito2","SNAPregional","BiodiversidataEstablecimiento","IUCNglobal","trendGlobal","esta_en_powo","esta_en_gbif","es_un_nuevo_registro","url_powo","synonym","remarks"
241,"Asteraceae","Senecio angulatus",11,,,,,,,,,,"Potencial introducida","-","-","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:243791-1",,"non-native"
52,"Asteraceae","Baccharis spicata",99,"Baccharis spicata","Baccharis",13,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
53,"Asteraceae","Baccharis tridentata",2,"Baccharis tridentata","Baccharis",7,"Arbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
54,"Asteraceae","Baccharis trimera",118,"Baccharis trimera","Baccharis",16,"Subarbusto","Perenne","No evaluada","nativa","NE","NE",,,,,,
55,"Asteraceae","Baccharis vulneraria",7,"Baccharis vulneraria","Baccharis",12,"Subarbusto","Perenne","No Prioritaria","nativa","NE","NE",,,,,,
56,"Asteraceae","Barrosoa betoniciformis",3,"Barrosoa betoniciformis","Barrosoa",4,"Hierba","Perenne","No evaluada","NE","NE","NE",,,,,,
57,"Asteraceae","Barrosoa candolleana",22,"Barrosoa candolleana","Barrosoa",1,"Hierba","Perenne","No evaluada","nativa","NE","NE","No está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:29633-2",,
58,"Asteraceae","Berroa gnaphalioides",5,"Berroa gnaphalioides","Berroa",8,"Hierba","Perenne","No evaluada","nativa","NE","NE",,,,,,
180,"Asteraceae","Lemmatium clematideum",10,,,,,,,,,,,,,,"Calea clematidea",
60,"Asteraceae","Bidens laevis",31,"Bidens laevis","Bidens",1,"Hierba","Perenne","No evaluada","nativa","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:32497-2",,
61,"Asteraceae","Bidens pilosa",44,"Bidens pilosa","Bidens",6,"Hierba","Anual","No evaluada","introducida","NE","NE",,,,,,
62,"Asteraceae","Bidens subalternans",12,"Bidens subalternans","Bidens",1,"Hierba","Anual","No evaluada","nativa","NE","NE","Está","Está","NO","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:185264-1",,
