"","class","species","n","Distribution","Size","IUCNglobal"
"191","Aves","Fulica leucoptera",21,19,30,"LC"
"192","Aves","Fulica rufifrons",16,19,32,"LC"
"193","Aves","Fulmarus glacialis",1,NA,NA,NA
"194","Aves","Furnarius rufus",347,19,18,"LC"
"195","Aves","Gallinago magellanica",1,1,27,"LC"
"196","Aves","Gallinago paraguaiae",51,19,25,"LC"
"197","Aves","Gallinula chloropus",76,NA,NA,NA
"198","Aves","Gallinula melanops",40,NA,NA,NA
"199","Aves","Gampsonyx swainsonii",1,NA,NA,NA
"200","Aves","Gelochelidon nilotica",4,15,34,"LC"
"201","Aves","Geositta cunicularia",35,19,14,"LC"
"202","Aves","Geothlypis velata",54,NA,NA,NA
"203","Aves","Geotrygon montana",1,1,22,"LC"
"204","Aves","Geranoaetus melanoleucus",49,19,65,"LC"
"205","Aves","Geranospiza caerulescens",12,19,46,"LC"
"206","Aves","Glaucidium brasilianum",17,19,18,"LC"
"207","Aves","Gnorimopsar chopi",16,15,22,"LC"
"208","Aves","Gubernatrix cristata",5,15,18,"EN"
"209","Aves","Gubernetes yetapa",1,1,40,"LC"
"210","Aves","Guira guira",124,19,36,"LC"
"211","Aves","Haematopus ater",4,2,36,"LC"
"212","Aves","Haematopus palliatus",137,8,35,"LC"
"213","Aves","Heliobletus contaminatus",12,1,12,"LC"
"214","Aves","Heliomaster furcifer",21,10,10,"LC"
"215","Aves","Hemithraupis guira",1,1,12,"LC"
"216","Aves","Hemithraupis ruficapilla",3,1,13,"LC"
"217","Aves","Hemitriccus margaritaceiventer",15,6,10,"LC"
"218","Aves","Heteronetta atricapilla",12,14,36,"LC"
"219","Aves","Heteroxolmis dominicana",57,17,19,"VU"
"220","Aves","Himantopus mexicanus",104,19,38,"LC"
"221","Aves","Hirundinea ferruginea",12,11,16,"LC"
"222","Aves","Hirundo rustica",29,19,16,"LC"
"223","Aves","Hydropsalis torquata",59,19,40,"LC"
"224","Aves","Hylocharis chrysura",112,19,8,"LC"
"225","Aves","Hymenops perspicillatus",107,19,13,"LC"
"226","Aves","Icterus cayanensis",55,NA,NA,NA
"227","Aves","Ictinia mississippiensis",7,2,37,"LC"
"228","Aves","Ictinia plumbea",4,NA,NA,NA
"229","Aves","Ixobrychus involucris",6,13,28,"LC"
"230","Aves","Jabiru mycteria",2,5,110,"LC"
"231","Aves","Jacana jacana",90,19,25,"LC"
"232","Aves","Knipolegus cyanirostris",49,19,14,"LC"
"233","Aves","Knipolegus lophotes",29,13,19,"LC"
"234","Aves","Larus atlanticus",50,6,48,"NT"
"235","Aves","Larus dominicanus",237,16,55,"LC"
"236","Aves","Laterallus leucopyrrhus",2,19,17,"LC"
"237","Aves","Laterallus melanophaius",21,19,18,"LC"
"238","Aves","Lathrotriccus euleri",13,19,12,"LC"
"239","Aves","Lepidocolaptes angustirostris",71,19,18,"LC"
"240","Aves","Lepidocolaptes falcinellus",10,1,17,"LC"
"241","Aves","Leptasthenura platensis",15,19,16,"LC"
"242","Aves","Leptopogon amaurocephalus",1,1,12,"LC"
"243","Aves","Leptotila rufaxilla",7,11,25,"LC"
"244","Aves","Leptotila verreauxi",43,19,26,"LC"
"245","Aves","Lessonia rufa",29,19,11,"LC"
"246","Aves","Leucocarbo atriceps",2,2,70,"LC"
"247","Aves","Leucochloris albicollis",77,19,8,"LC"
"248","Aves","Leucophaeus pipixcan",1,5,33,"LC"
"249","Aves","Limnornis curvirostris",12,14,16,"LC"
"250","Aves","Limnornis rectirostris",31,NA,NA,NA
"251","Aves","Limosa haemastica",35,10,34,"LC"
"252","Aves","Lochmias nematura",36,19,13,"LC"
"253","Aves","Machetornis rixosa",97,19,17,"LC"
"254","Aves","Mackenziaena leachii",26,1,25,"LC"
"255","Aves","Macronectes giganteus",32,6,95,"LC"
"256","Aves","Macronectes halli",14,6,90,"LC"
"257","Aves","Mareca sibilatrix",12,16,43,"LC"
"258","Aves","Megaceryle torquata",40,19,36,"LC"
"259","Aves","Megarynchus pitangua",6,4,21,"LC"
"260","Aves","Megascops choliba",43,19,23,"LC"
"261","Aves","Megascops sanctaecatarinae",4,9,28,"LC"
"262","Aves","Melanerpes cactorum",14,6,16,"LC"
"263","Aves","Melanerpes candidus",56,19,24,"LC"
"264","Aves","Meleagris gallopavo",1,NA,NA,NA
"265","Aves","Melopsittacus undulatus",3,NA,NA,NA
"266","Aves","Microspingus cabanisi",47,19,13,"LC"
"267","Aves","Microspingus melanoleucus",22,19,12,"LC"
"268","Aves","Microspingus torquatus",1,1,14,"LC"
"269","Aves","Mimus saturninus",283,19,25,"LC"
"270","Aves","Mimus triurus",25,19,20,"LC"
"271","Aves","Molothrus bonariensis",175,19,19,"LC"
"272","Aves","Molothrus rufoaxillaris",27,19,18,"LC"
"273","Aves","Motacilla alba",3,NA,NA,NA
"274","Aves","Muscisaxicola maclovianus",7,12,15,"LC"
"275","Aves","Mycteria americana",73,19,65,"LC"
"276","Aves","Myiarchus ferox",7,1,18,"LC"
"277","Aves","Myiarchus swainsoni",32,19,18,"LC"
"278","Aves","Myiarchus tyrannulus",7,1,18,"LC"
"279","Aves","Myiodynastes maculatus",45,19,19,"LC"
"280","Aves","Myiopagis viridicata",3,3,12,"LC"
"281","Aves","Myiophobus fasciatus",52,19,12,"LC"
"282","Aves","Myiopsitta monachus",225,19,27,"LC"
"283","Aves","Myiothlypis leucoblephara",28,19,12,"LC"
"284","Aves","Nandayus nenday",2,NA,NA,NA
"285","Aves","Nemosia pileata",1,1,13,"LC"
"286","Aves","Neoxolmis rufiventris",8,16,23,"LC"
"287","Aves","Netta peposaca",17,19,46,"LC"
"288","Aves","Nomonyx dominicus",12,13,33,"LC"
"289","Aves","Nothura maculosa",69,19,25,"LC"
"290","Aves","Notiochelidon cyanoleuca",49,NA,NA,NA
"291","Aves","Numenius phaeopus",8,3,37,"LC"
"292","Aves","Numida meleagris",4,NA,NA,NA
"293","Aves","Nyctibius griseus",15,7,35,"LC"
"294","Aves","Nycticorax nycticorax",56,19,47,"LC"
"295","Aves","Nycticryphes semicollaris",7,19,19,"LC"
"296","Aves","Nyctidromus albicollis",1,2,29,"LC"
"297","Aves","Nymphicus hollandicus",1,NA,NA,NA
"298","Aves","Oreopholus ruficollis",15,19,27,"LC"
"299","Aves","Ortalis canicollis",3,NA,NA,NA
"300","Aves","Oxyura vittata",25,9,35,"LC"
"301","Aves","Pachyptila belcheri",1,6,26,"LC"
"302","Aves","Pachyramphus polychopterus",23,19,15,"LC"
"303","Aves","Pachyramphus validus",16,2,17,"LC"
"304","Aves","Pachyramphus viridis",29,16,14,"LC"
"305","Aves","Pandion haliaetus",17,13,58,"LC"
"306","Aves","Parabuteo unicinctus",102,19,50,"LC"
"307","Aves","Pardirallus maculatus",2,15,26,"LC"
"308","Aves","Pardirallus sanguinolentus",43,19,29,"LC"
"309","Aves","Paroaria capitata",16,5,16,"LC"
"310","Aves","Paroaria coronata",269,19,17,"LC"
"311","Aves","Passer domesticus",114,19,13,"LC"
"312","Aves","Patagioenas cayennensis",12,10,30,"LC"
"313","Aves","Patagioenas maculosa",93,19,33,"LC"
"314","Aves","Patagioenas picazuro",101,19,35,"LC"
"315","Aves","Penelope obscura",89,19,69,"LC"
"316","Aves","Petrochelidon pyrrhonota",6,19,14,"LC"
"317","Aves","Phacellodomus erythrophthalmus",10,NA,NA,NA
"318","Aves","Phacellodomus ruber",8,4,18,"LC"
"319","Aves","Phacellodomus sibilatrix",8,15,12,"LC"
"320","Aves","Phacellodomus striaticollis",57,19,16,"LC"
"321","Aves","Phaetusa simplex",22,15,38,"LC"
