"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"91","anaetche","2024-02-10 15:17:17 UTC","2024-02-13 19:47:52 UTC",7,4.18790509259259,1.67148009451822,"beginner"
"92","anainesgp","2021-07-21 21:15:58 UTC","2023-11-20 19:42:17 UTC",79,852.93494212963,0.0926213666457969,"beginner"
"93","analaura18","2020-08-06 15:09:14 UTC","2020-08-06 15:16:45 UTC",2,1.00521990740741,1.98961439707085,"beginner"
"94","analiacps","2023-02-07 20:54:00 UTC","2023-02-07 20:54:00 UTC",1,1,1,"beginner"
"95","analucasrosso","2020-02-12 20:41:35 UTC","2020-02-12 20:41:35 UTC",1,1,1,"beginner"
"96","anamartnezgoicoechea","2021-10-19 03:29:23 UTC","2022-05-19 15:55:04 UTC",104,213.517835648148,0.487078747704148,"intermediate"
"97","anaolcese","2021-09-27 13:22:29 UTC","2023-06-03 13:39:25 UTC",36,615.011759259259,0.0585354661240292,"beginner"
"98","anavero","2020-11-05 13:08:28 UTC","2024-02-08 23:56:41 UTC",59,1191.45015046296,0.0495194868010838,"beginner"
"99","andrea2463","2022-01-08 21:24:51 UTC","2022-01-08 21:24:51 UTC",1,1,1,"beginner"
"100","andreameynet","2021-10-11 11:49:36 UTC","2024-02-21 16:51:47 UTC",46,864.209849537037,0.0532278126946164,"beginner"
"101","andreasomma","2020-03-01 20:26:35 UTC","2021-12-28 15:48:33 UTC",23,667.806921296296,0.0344410925771092,"beginner"
"102","andreina_emilia","2022-10-09 01:30:36 UTC","2023-04-23 15:39:32 UTC",2,197.589537037037,0.0101219934516326,"beginner"
"103","andres2023","2023-01-10 14:04:24 UTC","2023-01-12 00:45:49 UTC",2,2.44542824074074,0.817852663464041,"beginner"
"104","andres557","2021-09-30 19:53:56 UTC","2024-02-13 23:20:58 UTC",14,867.143773148148,0.0161449582335963,"beginner"
"105","andresferz","2022-01-07 00:05:10 UTC","2024-02-23 16:18:29 UTC",249,778.675914351852,0.319773599530506,"intermediate"
"106","andrestl","2020-12-28 23:24:28 UTC","2023-03-02 21:06:19 UTC",4,794.9040625,0.00503205378950998,"beginner"
"107","andrewsdiez","2020-04-11 16:25:07 UTC","2020-10-18 23:04:26 UTC",24,191.277303240741,0.125472283398902,"beginner"
"108","andrs158","2021-10-24 12:59:08 UTC","2024-02-29 19:06:03 UTC",149,859.254803240741,0.1734060716775,"beginner"
"109","anep1","2023-08-08 14:42:18 UTC","2023-08-08 14:42:18 UTC",1,1,1,"beginner"
"110","angel71","2017-08-06 16:53:59 UTC","2017-08-06 16:53:59 UTC",1,1,1,"beginner"
"111","angelaleicht","2020-06-04 00:27:32 UTC","2024-02-25 18:36:18 UTC",68,1362.75608796296,0.0498988781636234,"beginner"
"112","angeldalchiele","2020-01-28 12:58:57 UTC","2023-02-19 02:43:42 UTC",4,1118.57274305556,0.00357598558058314,"beginner"
"113","angeles104","2023-01-26 20:15:30 UTC","2023-01-26 20:17:15 UTC",2,1.00121527777778,1.99757239465927,"beginner"
"114","angelesbordagorry","2020-08-05 20:47:16 UTC","2020-08-05 21:02:54 UTC",2,1.01085648148148,1.97852023174334,"beginner"
"115","angeliquis","2021-12-07 11:57:51 UTC","2022-04-30 00:07:18 UTC",4,144.5065625,0.0276804037878903,"beginner"
"116","angie147","2019-08-23 14:05:15 UTC","2019-08-23 14:05:15 UTC",1,1,1,"beginner"
"117","anneliesedup","2022-03-02 16:03:11 UTC","2022-03-02 16:03:11 UTC",1,1,1,"beginner"
"118","annepg","2020-11-07 18:26:36 UTC","2020-11-07 18:26:36 UTC",1,1,1,"beginner"
"119","anoukitty","2021-10-24 15:02:54 UTC","2021-10-24 15:02:54 UTC",1,1,1,"beginner"
"120","ant0nella","2022-05-08 18:30:09 UTC","2022-06-30 11:52:04 UTC",2,53.7235532407407,0.0372276195328666,"beginner"
"121","antoescola","2022-10-31 17:46:57 UTC","2023-01-29 23:53:34 UTC",4,91.2545949074074,0.0438334092004753,"beginner"
"122","antolin2","2022-05-14 21:44:21 UTC","2022-05-14 21:44:21 UTC",1,1,1,"beginner"
"123","antonela_baccaro","2022-06-28 18:46:46 UTC","2022-06-28 18:46:46 UTC",1,1,1,"beginner"
"124","antonioripoll_","2023-11-13 06:36:20 UTC","2024-02-18 03:34:14 UTC",170,97.8735416666667,1.73693520337681,"intermediate"
"125","antoniourugwild","2021-04-16 18:39:45 UTC","2022-08-02 05:13:59 UTC",3,473.440439814815,0.00633659431622158,"beginner"
"126","apeluffo","2024-02-17 14:36:40 UTC","2024-02-17 22:23:40 UTC",6,1.32430555555556,4.53067645516518,"beginner"
"127","aramat","2019-12-02 22:11:01 UTC","2019-12-02 22:11:01 UTC",1,1,1,"beginner"
"128","arazarojo","2020-08-12 13:23:06 UTC","2021-12-02 23:54:58 UTC",8,478.438796296296,0.0167210520173736,"beginner"
"129","arcticopossum","2020-01-06 22:17:11 UTC","2020-01-06 22:17:22 UTC",2,1.00012731481481,1.99974540278437,"beginner"
"130","ardilla4","2024-02-06 14:45:37 UTC","2024-02-07 20:51:17 UTC",4,2.25393518518519,1.77467392420663,"beginner"
"131","arideleon","2020-11-28 19:35:02 UTC","2022-07-04 19:15:59 UTC",9,583.986770833333,0.0154113080115792,"beginner"
"132","arielpioli","2021-09-18 19:27:47 UTC","2021-12-29 16:13:45 UTC",4,102.86525462963,0.0388858221797259,"beginner"
"133","asere","2022-10-18 12:43:07 UTC","2022-10-31 11:21:26 UTC",2,13.943275462963,0.14343831944743,"beginner"
"134","asilvera","2019-06-20 04:13:26 UTC","2019-12-08 20:47:40 UTC",9,172.690439814815,0.0521163766196391,"beginner"
"135","atenca","2018-11-24 17:42:58 UTC","2019-12-15 15:17:39 UTC",3,386.899085648148,0.00775395991172811,"beginner"
"136","atilio","2023-11-25 15:47:22 UTC","2023-11-25 15:47:22 UTC",1,1,1,"beginner"
"137","atiliodeana","2019-12-23 09:39:30 UTC","2020-03-21 14:55:35 UTC",11,90.2195023148148,0.121924857905071,"beginner"
"138","aurbeltz","2022-01-19 16:02:57 UTC","2022-11-14 01:15:41 UTC",5,299.383842592593,0.0167009680839861,"beginner"
"139","aurelie145","2022-11-01 16:48:30 UTC","2023-10-06 19:53:58 UTC",27,340.128796296296,0.0793816939171463,"beginner"
"140","auroradelassierras","2020-08-23 21:04:57 UTC","2020-08-23 21:04:57 UTC",1,1,1,"beginner"
"141","ayelen13","2022-10-28 14:38:38 UTC","2022-10-28 14:58:14 UTC",4,1.01361111111111,3.94628665387778,"beginner"
"142","ayelen2004","2023-11-16 23:16:37 UTC","2023-11-17 12:19:35 UTC",9,1.54372685185185,5.83004693427702,"beginner"
