taxon_class_name,taxon_species_name,distribution_area,body_size,conservation_status,remarks
Aves,Microspingus torquatus,1,14,LC,NA
Aves,Mimus saturninus,19,25,LC,NA
Aves,Mimus triurus,19,20,LC,NA
Aves,Molothrus bonariensis,19,19,LC,NA
Aves,Molothrus rufoaxillaris,19,18,LC,NA
Aves,Motacilla alba,NA,NA,NA,non-native: introduced
Aves,Muscisaxicola albilora,1,17,LC,NA
Aves,Muscisaxicola maclovianus,12,15,LC,NA
Aves,Mustelirallus albicollis,1,21,LC,NA
Aves,Mycteria americana,19,65,LC,NA
Aves,Myiarchus ferox,1,18,LC,NA
Aves,Myiarchus swainsoni,19,18,LC,NA
Aves,Myiarchus tyrannulus,1,18,LC,NA
Aves,Myiodynastes maculatus,19,19,LC,NA
Aves,Myiopagis viridicata,3,12,LC,NA
Aves,Myiophobus fasciatus,19,12,LC,NA
Aves,Myiopsitta monachus,19,27,LC,NA
Aves,Myiothlypis leucoblephara,19,12,LC,NA
Aves,Nannopterum brasilianum,19,63,LC,NA
Aves,Nemosia pileata,1,13,LC,NA
Aves,Nengetus cinereus,19,20,LC,NA
Aves,Neoxolmis coronatus,13,20,LC,NA
Aves,Neoxolmis rufiventris,16,23,LC,NA
Aves,Netta peposaca,19,46,LC,NA
Aves,Nomonyx dominicus,13,33,LC,NA
Aves,Nothura maculosa,19,25,LC,NA
Aves,Numenius phaeopus,3,37,LC,NA
Aves,Numida meleagris,NA,NA,NA,non-native: introduced
Aves,Nyctibius griseus,7,35,LC,NA
Aves,Nycticorax nycticorax,19,47,LC,NA
Aves,Nycticryphes semicollaris,19,19,LC,NA
Aves,Nyctidromus albicollis,2,29,LC,NA
Aves,Nymphicus hollandicus,NA,NA,NA,non-native: introduced
Aves,Oceanites oceanicus,6,17,LC,NA
Aves,Oreopholus ruficollis,19,27,LC,NA
Aves,Ortalis canicollis,3,55,LC,NA
Aves,Oxyura vittata,9,35,LC,NA
Aves,Pachyptila belcheri,6,26,LC,NA
Aves,Pachyramphus polychopterus,19,15,LC,NA
Aves,Pachyramphus validus,2,17,LC,NA
Aves,Pachyramphus viridis,16,14,LC,NA
Aves,Pandion haliaetus,13,58,LC,NA
Aves,Parabuteo unicinctus,19,50,LC,NA
Aves,Pardirallus maculatus,15,26,LC,NA
Aves,Pardirallus sanguinolentus,19,29,LC,NA
Aves,Paroaria capitata,5,16,LC,NA
Aves,Paroaria coronata,19,17,LC,NA
Aves,Passer domesticus,NA,NA,NA,non-native: introduced
Aves,Patagioenas cayennensis,10,30,LC,NA
Aves,Patagioenas maculosa,19,33,LC,NA
Aves,Patagioenas picazuro,19,35,LC,NA
Aves,Pavo cristatus,NA,NA,NA,non-native: introduced
Aves,Penelope obscura,19,69,LC,NA
Aves,Petrochelidon pyrrhonota,19,14,LC,NA
Aves,Phacellodomus ferrugineigula,2,18,LC,NA
Aves,Phacellodomus ruber,4,18,LC,NA
Aves,Phacellodomus sibilatrix,15,12,LC,NA
Aves,Phacellodomus striaticollis,19,16,LC,NA
Aves,Phaetusa simplex,15,38,LC,NA
Aves,Phalaropus tricolor,19,21,LC,NA
Aves,Phimosus infuscatus,19,40,LC,NA
Aves,Phleocryptes melanops,19,13,LC,NA
Aves,Phoenicopterus chilensis,7,75,NT,NA
Aves,Phyllomyias burmeisteri,1,11,LC,NA
Aves,Phyllomyias virescens,1,12,LC,NA
Aves,Phylloscartes ventralis,19,10,LC,NA
Aves,Phytotoma rutila,16,17,LC,NA
Aves,Piaya cayana,19,44,LC,NA
Aves,Piculus aurulentus,1,21,NT,NA
Aves,Picumnus cirratus,6,8,LC,NA
Aves,Picumnus nebulosus,11,9,NT,NA
Aves,Pipraeidea melanonota,19,14,LC,NA
Aves,Piranga flava,19,17,LC,NA
Aves,Pitangus sulphuratus,19,22,LC,NA
Aves,Platalea ajaja,19,55,LC,NA
Aves,Plegadis chihi,19,40,LC,NA
Aves,Pluvialis dominica,19,23,LC,NA
Aves,Pluvialis squatarola,7,25,LC,NA
Aves,Pluvianellus socialis,1,18,NT,new record
Aves,Podiceps major,19,51,LC,NA
Aves,Podiceps occipitalis,1,26,LC,NA
Aves,Podilymbus podiceps,19,29,LC,NA
Aves,Poecilotriccus plumbeiceps,2,9,LC,NA
Aves,Polioptila dumicola,19,11,LC,NA
Aves,Polystictus pectoralis,19,9,NT,NA
Aves,Poospiza nigrorufa,19,13,LC,NA
Aves,Porphyrio flavirostris,1,23,LC,NA
Aves,Porphyrio martinica,19,32,LC,NA
Aves,Porphyriops melanops,19,20,LC,NA
Aves,Porzana spiloptera,9,15,VU,NA
Aves,Procellaria aequinoctialis,6,56,VU,NA
Aves,Progne chalybea,19,18,LC,NA
Aves,Progne elegans,9,18,LC,NA
Aves,Progne tapera,19,16,LC,NA
Aves,Pseudocolopteryx flaviventris,19,10,LC,NA
Aves,Pseudocolopteryx sclateri,14,9,LC,NA
Aves,Pseudoleistes guirahuro,15,22,LC,NA
Aves,Pseudoleistes virescens,19,21,LC,NA
Aves,Pseudoseisura lophotes,19,23,LC,NA
Aves,Psittacara leucophthalmus,13,33,LC,NA
Aves,Puffinus puffinus,6,34,LC,NA
Aves,Pygochelidon cyanoleuca,19,11,LC,NA
Aves,Pyrocephalus rubinus,19,13,LC,NA
Aves,Pyroderus scutatus,1,41,LC,NA
Aves,Pyrrhura frontalis,4,24,LC,NA
Aves,Ramphastos toco,2,53,LC,NA
Aves,Rauenia bonariensis,19,17,LC,NA
Aves,Rhea americana,19,140,NT,NA
Aves,Rhopospina fruticeti,10,15,LC,NA
Aves,Rhynchotus rufescens,19,41,LC,NA
Aves,Riparia riparia,19,11,LC,NA
Aves,Rollandia rolland,19,25,LC,NA
Aves,Rostrhamus sociabilis,19,41,LC,NA
Aves,Rupornis magnirostris,19,38,LC,NA
Aves,Rynchops niger,13,40,LC,NA
Aves,Saltator aurantiirostris,19,18,LC,NA
Aves,Saltator coerulescens,4,20,LC,NA
Aves,Saltator similis,19,19,LC,NA
Aves,Satrapa icterophrys,19,16,LC,NA
Aves,Schoeniophylax phryganophilus,19,18,LC,NA
Aves,Serpophaga griseicapilla,19,9,LC,NA
Aves,Serpophaga nigricans,19,11,LC,NA
Aves,Serpophaga subcristata,19,9,LC,NA
Aves,Setopagis parvula,19,20,LC,NA
Aves,Setophaga pitiayumi,19,9,LC,NA
Aves,Sicalis flaveola,19,12,LC,NA
Aves,Sicalis luteola,19,12,LC,NA
Aves,Sittasomus griseicapillus,1,14,LC,NA
Aves,Spartonoica maluroides,19,13,NT,NA
Aves,Spatula cyanoptera,9,37,LC,NA
Aves,Spatula platalea,19,43,LC,NA
Aves,Spatula versicolor,19,37,LC,NA
Aves,Spheniscus magellanicus,6,47,NT,NA
Aves,Spinus magellanicus,19,12,LC,NA
Aves,Sporophila caerulescens,19,11,LC,NA
Aves,Sporophila cinnamomea,19,9,VU,NA
Aves,Sporophila collaris,14,11,LC,NA
Aves,Sporophila hypochroma,11,9,NT,NA
Aves,Sporophila hypoxantha,9,9,LC,NA
Aves,Sporophila leucoptera,1,11,LC,NA
Aves,Sporophila palustris,9,9,EN,NA
Aves,Sporophila pileata,2,11,LC,NA
Aves,Sporophila ruficollis,7,9,NT,NA
Aves,Stelgidopteryx ruficollis,19,13,LC,NA
Aves,Stephanophorus diadematus,19,18,LC,NA
Aves,Stercorarius antarcticus,5,60,NE,NA
Aves,Stercorarius chilensis,2,54,LC,NA
Aves,Stercorarius longicaudus,1,37,LC,NA
Aves,Stercorarius maccormicki,1,52,LC,NA
Aves,Stercorarius parasiticus,6,39,LC,NA
Aves,Stercorarius pomarinus,2,48,LC,NA
Aves,Sterna hirundinacea,9,38,LC,NA
Aves,Sterna hirundo,5,31,LC,NA
Aves,Sterna paradisaea,3,34,LC,NA
Aves,Sterna trudeaui,13,32,LC,NA
Aves,Sternula superciliaris,19,23,LC,NA
Aves,Stilpnia peruviana,1,14,VU,NA
Aves,Stilpnia preciosa,17,15,LC,NA
Aves,Sturnus vulgaris,NA,NA,NA,non-native: introduced
Aves,Sublegatus modestus,19,13,LC,NA
Aves,Suiriri suiriri,19,13,LC,NA
Aves,Synallaxis albescens,14,14,LC,NA
Aves,Synallaxis cinerascens,3,13,LC,NA
