"","user_login","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"108","bcmd","2023-07-18 09:25:54 UTC","2023-07-18 11:47:39 UTC",2,1.0984375,1.82076813655761,"beginner"
"109","beavisnail","2020-05-15 23:34:43 UTC","2020-05-15 23:34:43 UTC",2,1,2,"beginner"
"110","bencostamagna","2022-11-12 17:32:04 UTC","2022-11-24 22:56:06 UTC",71,13.2250231481481,5.36861064095316,"beginner"
"111","benediktschnitzer","2022-01-29 17:54:02 UTC","2022-01-29 17:54:02 UTC",1,1,1,"beginner"
"112","benjaarancibia","2024-02-19 05:26:42 UTC","2024-02-19 05:27:46 UTC",2,1.00074074074074,1.99851961509993,"beginner"
"113","benjaayres","2021-01-19 15:05:59 UTC","2021-01-19 15:05:59 UTC",1,1,1,"beginner"
"114","bert_filemyr","2024-02-12 18:52:31 UTC","2024-02-13 02:00:20 UTC",21,1.29709490740741,16.1900257876844,"beginner"
"115","bewambay","2017-07-24 15:52:38 UTC","2017-07-24 15:52:38 UTC",1,1,1,"beginner"
"116","bianca_darski","2020-09-14 02:46:48 UTC","2020-09-14 03:24:23 UTC",3,1.02609953703704,2.92369296711973,"beginner"
"117","bigoti","2020-07-31 14:51:33 UTC","2023-10-30 13:02:41 UTC",4,1186.92439814815,0.00337005457655167,"beginner"
"118","billymac56","2023-10-22 20:11:04 UTC","2023-12-03 01:55:19 UTC",3,42.2390625,0.071024303628898,"beginner"
"119","bilma","2019-08-26 21:40:11 UTC","2019-08-26 21:40:11 UTC",1,1,1,"beginner"
"120","bionautauru","2020-02-19 02:01:03 UTC","2020-02-19 02:01:03 UTC",1,1,1,"beginner"
"121","biosophiecr","2023-09-12 14:19:12 UTC","2023-09-12 14:19:12 UTC",1,1,1,"beginner"
"122","birdplant","2022-06-15 14:18:16 UTC","2022-06-15 14:18:16 UTC",1,1,1,"beginner"
"123","birdspaz","2022-10-28 19:40:24 UTC","2022-10-28 19:40:24 UTC",1,1,1,"beginner"
"124","blair_cowie","2022-01-16 17:37:28 UTC","2023-12-06 11:01:36 UTC",85,689.725092592593,0.123237505656776,"beginner"
"125","blueghen","2023-08-17 22:16:24 UTC","2023-08-17 22:36:50 UTC",4,1.01418981481481,3.94403487549358,"beginner"
"126","bob15noble","2019-02-24 14:57:50 UTC","2023-02-07 21:29:50 UTC",21,1445.27222222222,0.0145301346536024,"beginner"
"127","bob_mckelvey","2022-05-04 04:48:29 UTC","2022-05-04 04:48:29 UTC",1,1,1,"beginner"
"128","bobschallmann","2023-03-16 08:31:27 UTC","2023-03-19 06:10:23 UTC",6,3.90203703703704,1.53765839305206,"beginner"
"129","bolivershagnastic","2022-03-17 17:27:07 UTC","2022-03-17 17:55:36 UTC",3,1.01978009259259,2.94181071173206,"beginner"
"130","bombin","2019-04-12 10:48:36 UTC","2022-08-12 19:47:35 UTC",17,1219.37429398148,0.0139415764986253,"beginner"
"131","boogan_boy","2021-11-11 22:17:28 UTC","2023-02-26 13:10:16 UTC",36,472.62,0.0761711311412974,"beginner"
"132","bottanydot","2023-02-02 18:39:53 UTC","2023-02-02 18:39:53 UTC",1,1,1,"beginner"
"133","boykin04281949","2020-06-21 18:28:30 UTC","2024-01-24 00:03:51 UTC",12,1312.23288194444,0.00914471826237017,"beginner"
"134","br1uruguay","2023-04-04 20:34:44 UTC","2023-04-04 20:34:44 UTC",1,1,1,"beginner"
"135","bradmoon","2018-12-14 04:30:28 UTC","2018-12-14 05:44:49 UTC",17,1.05163194444444,16.1653514709281,"beginner"
"136","braian_pereira","2021-04-13 01:54:57 UTC","2021-06-22 06:37:17 UTC",4,71.1960648148148,0.0561828804780747,"beginner"
"137","briarbunn","2023-12-24 17:13:43 UTC","2023-12-24 17:13:43 UTC",1,1,1,"beginner"
"138","brunohemerly","2024-01-01 01:26:30 UTC","2024-01-03 23:45:12 UTC",37,3.92965277777778,9.4155901532154,"beginner"
"139","brunoolivera","2018-12-10 20:39:04 UTC","2019-07-12 18:12:53 UTC",10,214.898483796296,0.0465335996017499,"beginner"
"140","bubbalow","2019-03-07 21:08:36 UTC","2019-03-07 21:08:36 UTC",1,1,1,"beginner"
"141","bubblegumteary","2022-07-14 16:23:55 UTC","2024-02-01 14:45:44 UTC",24,567.93181712963,0.0422585938595549,"beginner"
"142","buddyfede","2019-12-13 22:23:01 UTC","2021-03-07 19:08:25 UTC",5,450.864861111111,0.0110897974787345,"beginner"
"143","bwessling","2019-04-01 05:49:02 UTC","2019-04-01 05:49:02 UTC",1,1,1,"beginner"
"144","byosss","2023-10-30 03:20:12 UTC","2023-10-30 03:20:12 UTC",1,1,1,"beginner"
"145","calidrisesperanza","2021-03-20 22:09:17 UTC","2021-03-20 22:09:19 UTC",6,1.00002314814815,5.99986111432606,"beginner"
"146","call_me_ishmael","2019-07-29 22:55:04 UTC","2019-07-29 22:55:04 UTC",1,1,1,"beginner"
"147","cambacita","2024-01-18 16:42:06 UTC","2024-02-09 23:11:05 UTC",22,23.2701273148148,0.945418119220766,"beginner"
"148","cami37936","2023-11-19 11:21:04 UTC","2023-12-31 16:54:45 UTC",3,43.231724537037,0.0693934843480479,"beginner"
"149","camilagarciap","2022-02-07 00:48:38 UTC","2023-03-25 11:47:56 UTC",14,412.457847222222,0.0339428625113711,"beginner"
"150","camilarueda","2023-07-31 19:03:34 UTC","2023-07-31 19:03:34 UTC",1,1,1,"beginner"
"151","camilo_sosa","2022-03-12 19:29:01 UTC","2022-03-12 19:29:01 UTC",1,1,1,"beginner"
"152","camilogon1","2023-04-03 19:45:47 UTC","2023-04-03 19:45:47 UTC",1,1,1,"beginner"
"153","camimuller","2023-02-08 06:04:45 UTC","2023-02-08 06:06:03 UTC",2,1.00090277777778,1.99819607298966,"beginner"
"154","capacoscar","2020-05-31 05:38:10 UTC","2020-05-31 05:38:11 UTC",2,1.00001157407407,1.99997685211977,"beginner"
"155","captainkerry","2022-11-11 13:39:24 UTC","2022-11-13 14:12:48 UTC",6,3.02319444444444,1.98465567142923,"beginner"
"156","carancho","2017-04-04 05:23:55 UTC","2018-08-13 04:37:07 UTC",90,496.9675,0.181098361562879,"beginner"
