"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Elaenia spectabilis",7,16,"LC",
"Aves","Elanoides forficatus",9,56,"LC",
"Aves","Elanus leucurus",19,40,"LC",
"Aves","Emberizoides herbicola",3,18,"LC",
"Aves","Emberizoides ypiranganus",12,16,"LC",
"Aves","Embernagra platensis",19,20,"LC",
"Aves","Empidonomus aurantioatrocristatus",14,17,"LC",
"Aves","Empidonomus varius",10,17,"LC",
"Aves","Eudyptes chrysolophus",1,10,"VU",
"Aves","Eupetomena macroura",3,17,"LC",
"Aves","Euphonia chlorotica",3,9,"LC",
"Aves","Euscarthmus meloryphus",19,10,"LC",
"Aves","Falco femoralis",19,35,"LC",
"Aves","Falco peregrinus",19,39,"LC",
"Aves","Falco sparverius",19,26,"LC",
"Aves","Florisuga fusca",14,9,"LC",
"Aves","Fluvicola albiventer",11,12,"LC",
"Aves","Fluvicola nengeta",2,15,"LC",
"Aves","Fregata magnificens",6,65,"LC",
"Aves","Fulica armillata",19,35,"LC",
"Aves","Fulica leucoptera",19,30,"LC",
"Aves","Fulica rufifrons",19,32,"LC",
"Aves","Fulmarus glacialoides",6,48,"LC",
"Aves","Furnarius rufus",19,18,"LC",
"Aves","Gallinago magellanica",1,27,"LC",
"Aves","Gallinago paraguaiae",19,25,"LC",
"Aves","Gallinula galeata",19,33,"LC",
"Aves","Gelochelidon nilotica",15,34,"LC",
"Aves","Geositta cunicularia",19,14,"LC",
"Aves","Geothlypis velata",19,13,"LC",
"Aves","Geotrygon montana",1,22,"LC",
"Aves","Geranoaetus albicaudatus",19,53,"LC",
"Aves","Geranoaetus melanoleucus",19,65,"LC",
"Aves","Geranospiza caerulescens",19,46,"LC",
"Aves","Glaucidium brasilianum",19,18,"LC",
"Aves","Gnorimopsar chopi",15,22,"LC",
"Aves","Gubernatrix cristata",15,18,"EN",
"Aves","Gubernetes yetapa",1,40,"LC",
"Aves","Guira guira",19,36,"LC",
"Aves","Haematopus ater",2,36,"LC",
"Aves","Haematopus palliatus",8,35,"LC",
"Aves","Halobaena caerulea",6,29,"LC",
"Aves","Hapalocrex flaviventer",7,14,"LC",
"Aves","Heliobletus contaminatus",1,12,"LC",
"Aves","Heliomaster furcifer",10,10,"LC",
"Aves","Hemithraupis ruficapilla",1,13,"LC",
"Aves","Hemitriccus margaritaceiventer",6,10,"LC",
"Aves","Heteronetta atricapilla",14,36,"LC",
"Aves","Heteroxolmis dominicana",17,19,"VU",
"Aves","Himantopus mexicanus",19,38,"LC",
"Aves","Hirundinea ferruginea",11,16,"LC",
"Aves","Hirundo rustica",19,16,"LC",
"Aves","Hydropsalis torquata",19,40,"LC",
"Aves","Hylocharis chrysura",19,8,"LC",
"Aves","Hymenops perspicillatus",19,13,"LC",
"Aves","Icterus pyrrhopterus",19,19,"LC",
"Aves","Ictinia mississippiensis",2,37,"LC",
"Aves","Ixobrychus involucris",13,28,"LC",
"Aves","Jabiru mycteria",5,110,"LC",
"Aves","Jacana jacana",19,25,"LC",
"Aves","Knipolegus cyanirostris",19,14,"LC",
"Aves","Knipolegus lophotes",13,19,"LC",
"Aves","Larus atlanticus",6,48,"NT",
"Aves","Larus dominicanus",16,55,"LC",
"Aves","Laterallus leucopyrrhus",19,17,"LC",
"Aves","Laterallus melanophaius",19,18,"LC",
"Aves","Lathrotriccus euleri",19,12,"LC",
"Aves","Leistes defilippii",1,19,"VU",
"Aves","Leistes superciliaris",19,17,"LC",
"Aves","Lepidocolaptes angustirostris",19,18,"LC",
"Aves","Lepidocolaptes falcinellus",1,17,"LC",
"Aves","Leptasthenura platensis",19,16,"LC",
"Aves","Leptopogon amaurocephalus",1,12,"LC",
"Aves","Leptotila rufaxilla",11,25,"LC",
"Aves","Leptotila verreauxi",19,26,"LC",
"Aves","Lessonia rufa",19,11,"LC",
"Aves","Leucocarbo atriceps",2,70,"LC",
"Aves","Leucochloris albicollis",19,8,"LC",
"Aves","Leucophaeus pipixcan",5,33,"LC",
"Aves","Limnoctites rectirostris",13,15,"NT",
"Aves","Limnoctites sulphuriferus",18,15,"LC",
"Aves","Limnornis curvirostris",14,16,"LC",
"Aves","Limosa haemastica",10,34,"LC",
"Aves","Lochmias nematura",19,13,"LC",
"Aves","Machetornis rixosa",19,17,"LC",
"Aves","Mackenziaena leachii",1,25,"LC",
"Aves","Macronectes giganteus",6,95,"LC",
"Aves","Macronectes halli",6,90,"LC",
"Aves","Mareca sibilatrix",16,43,"LC",
"Aves","Megaceryle torquata",19,36,"LC",
"Aves","Megarynchus pitangua",4,21,"LC",
"Aves","Megascops choliba",19,23,"LC",
"Aves","Megascops sanctaecatarinae",9,28,"LC",
"Aves","Melanerpes cactorum",6,16,"LC",
"Aves","Melanerpes candidus",19,24,"LC",
"Aves","Microspingus cabanisi",19,13,"LC",
"Aves","Microspingus melanoleucus",19,12,"LC",
"Aves","Microspingus torquatus",1,14,"LC",
"Aves","Mimus saturninus",19,25,"LC",
"Aves","Mimus triurus",19,20,"LC",
"Aves","Molothrus bonariensis",19,19,"LC",
"Aves","Molothrus rufoaxillaris",19,18,"LC",
"Aves","Muscisaxicola albilora",1,17,"LC",
"Aves","Muscisaxicola maclovianus",12,15,"LC",
"Aves","Mustelirallus albicollis",1,21,"LC",
"Aves","Mycteria americana",19,65,"LC",
"Aves","Myiarchus ferox",1,18,"LC",
"Aves","Myiarchus swainsoni",19,18,"LC",
"Aves","Myiarchus tyrannulus",1,18,"LC",
"Aves","Myiodynastes maculatus",19,19,"LC",
"Aves","Myiopagis viridicata",3,12,"LC",
"Aves","Myiophobus fasciatus",19,12,"LC",
"Aves","Myiopsitta monachus",19,27,"LC",
"Aves","Myiothlypis leucoblephara",19,12,"LC",
"Aves","Nannopterum brasilianum",19,63,"LC",
"Aves","Nemosia pileata",1,13,"LC",
"Aves","Nengetus cinereus",19,20,"LC",
"Aves","Neoxolmis coronatus",13,20,"LC",
"Aves","Neoxolmis rufiventris",16,23,"LC",
"Aves","Netta peposaca",19,46,"LC",
"Aves","Nomonyx dominicus",13,33,"LC",
"Aves","Nothura maculosa",19,25,"LC",
"Aves","Numenius phaeopus",3,37,"LC",
"Aves","Nyctibius griseus",7,35,"LC",
"Aves","Nycticorax nycticorax",19,47,"LC",
"Aves","Nycticryphes semicollaris",19,19,"LC",
"Aves","Nyctidromus albicollis",2,29,"LC",
"Aves","Oceanites oceanicus",6,17,"LC",
"Aves","Oreopholus ruficollis",19,27,"LC",
"Aves","Ortalis canicollis",3,55,"LC",
"Aves","Oxyura vittata",9,35,"LC",
"Aves","Pachyptila belcheri",6,26,"LC",
"Aves","Pachyramphus polychopterus",19,15,"LC",
"Aves","Pachyramphus validus",2,17,"LC",
"Aves","Pachyramphus viridis",16,14,"LC",
"Aves","Pandion haliaetus",13,58,"LC",
"Aves","Parabuteo unicinctus",19,50,"LC",
"Aves","Pardirallus maculatus",15,26,"LC",
"Aves","Pardirallus sanguinolentus",19,29,"LC",
"Aves","Paroaria capitata",5,16,"LC",
"Aves","Paroaria coronata",19,17,"LC",
"Aves","Passer domesticus",19,13,"LC",
"Aves","Patagioenas cayennensis",10,30,"LC",
"Aves","Patagioenas maculosa",19,33,"LC",
"Aves","Patagioenas picazuro",19,35,"LC",
