"","taxon_family_name","taxon_species_name","n"
"524","Solanaceae","Calibrachoa humilis",10
"525","Solanaceae","Calibrachoa parviflora",14
"526","Solanaceae","Calibrachoa pubescens",2
"527","Solanaceae","Calibrachoa pygmea",12
"528","Solanaceae","Calibrachoa scabridula",7
"529","Solanaceae","Capsicum annuum",1
"530","Solanaceae","Cestrum parqui",25
"531","Solanaceae","Cestrum strigilatum",4
"532","Solanaceae","Datura ferox",18
"533","Solanaceae","Jaborosa integrifolia",11
"534","Solanaceae","Jaborosa runcinata",41
"535","Solanaceae","Lycium boerhaviifolium",5
"536","Solanaceae","Lycium cestroides",1
"537","Solanaceae","Lycium ciliatum",2
"538","Solanaceae","Nicandra physalodes",3
"539","Solanaceae","Nicotiana alata",7
"540","Solanaceae","Nicotiana bonariensis",35
"541","Solanaceae","Nicotiana glauca",24
"542","Solanaceae","Nicotiana longiflora",67
"543","Solanaceae","Nicotiana tabacum",20
"544","Solanaceae","Nierembergia aristata",9
"545","Solanaceae","Nierembergia calycina",26
"546","Solanaceae","Nierembergia ericoides",25
"547","Solanaceae","Nierembergia graveolens",1
"548","Solanaceae","Nierembergia linariifolia",15
"549","Solanaceae","Nierembergia pinifolia",1
"550","Solanaceae","Nierembergia rivularis",7
"551","Solanaceae","Nierembergia scoparia",15
"552","Solanaceae","Petunia axillaris",124
"553","Solanaceae","Petunia integrifolia",36
"554","Solanaceae","Physalis angulata",15
"555","Solanaceae","Physalis peruviana",13
"556","Solanaceae","Physalis viscosa",7
"557","Solanaceae","Salpichroa origanifolia",24
"558","Solanaceae","Schwenckia curviflora",8
"559","Solanaceae","Sclerophylax lorentzianus",4
"560","Solanaceae","Sessea vestioides",1
"561","Solanaceae","Solanum adscendens",1
"562","Solanaceae","Solanum americanum",40
"563","Solanaceae","Solanum amygdalifolium",22
"564","Solanaceae","Solanum atropurpureum",10
"565","Solanaceae","Solanum betaceum",2
"566","Solanaceae","Solanum bonariense",17
"567","Solanaceae","Solanum chenopodioides",28
"568","Solanaceae","Solanum commersonii",70
"569","Solanaceae","Solanum glaucophyllum",45
"570","Solanaceae","Solanum granulosoleprosum",2
"571","Solanaceae","Solanum guaraniticum",1
"572","Solanaceae","Solanum laxum",71
"573","Solanaceae","Solanum lycopersicum",3
"574","Solanaceae","Solanum malmeanum",1
"575","Solanaceae","Solanum mauritianum",61
"576","Solanaceae","Solanum pilcomayense",1
"577","Solanaceae","Solanum platense",1
"578","Solanaceae","Solanum pseudocapsicum",44
"579","Solanaceae","Solanum pygmaeum",1
"580","Solanaceae","Solanum reineckii",10
"581","Solanaceae","Solanum sisymbriifolium",149
"582","Solanaceae","Solanum tuberosum",1
"583","Solanaceae","Solanum viarum",44
"584","Solanaceae","Streptosolen jamesonii",1
"585","Solanaceae","Vassobia breviflora",6
